"time"	"wind"	"name"	"country"	"birth"	"race"	"location"	"date"	"age"
"49"	9.81	"+1.3"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Saint-Denis"	2015-07-04	32.6105407255305
"50"	9.81	"+0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Rio de Janeiro"	2016-08-14	29.9822039698836
"51"	9.82	"-0.2"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Edmonton"	2001-08-05	27.0362765229295
"52"	9.82	"±0.0"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Monaco"	2008-07-29	25.6810403832991
"53"	9.82	"+1.4"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Rieti"	2008-09-07	25.7905544147844
"54"	9.82	"+1.4"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Szczecin"	2009-09-15	26.8117727583847
"55"	9.82	"+0.6"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Roma"	2010-06-10	27.5455167693361
"56"	9.82	"+0.5"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"Lausanne"	2010-07-08	23.8795345653662
"57"	9.82	"±0.0"	"Yohan Blake"	"JAM"	1989-12-26	"1r3"	"Zürich"	2011-09-08	21.700205338809
"58"	9.82	"+0.1"	"Yohan Blake"	"JAM"	1989-12-26	"1"	"Berlin"	2011-09-11	21.7084188911704
"59"	9.82	"+1.8"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"Kingston"	2012-05-05	25.7056810403833
"60"	9.82	"+0.7"	"Justin Gatlin"	"USA"	1982-02-10	"1s1"	"London"	2012-08-05	30.4832306639288
"61"	9.82	"+1.7"	"Richard Thompson"	"TTO"	1985-06-07	"1r A"	"Port of Spain"	2014-06-21	29.0376454483231
"62"	9.82	"-0.1"	"Justin Gatlin"	"USA"	1982-02-10	"1rA"	"Linz"	2014-07-14	32.4216290212183
"63"	9.82	"+1.3"	"Christian Coleman"	"USA"	1996-03-06	"1h1"	"Eugene"	2017-06-07	21.2539356605065
"64"	9.83	"-0.3"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Stuttgart"	2007-09-22	24.829568788501
"65"	9.83	"-0.5"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"Zürich"	2008-08-29	22.0232717316906
"66"	9.83	"-1.3"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Bruxelles"	2008-09-05	25.7850787132101
"67"	9.83	"-0.5"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Ostrava"	2010-05-27	27.5071868583162
"68"	9.83	"+0.7"	"Justin Gatlin"	"USA"	1982-02-10	"1r2"	"Rieti"	2014-09-07	32.5722108145106
"69"	9.83	"+1.7"	"Justin Gatlin"	"USA"	1982-02-10	"1s1"	"Eugene"	2016-07-03	34.3928815879535
"70"	9.84	"+0.7"	"Donovan Bailey"	"CAN"	1967-12-16	"1"	"Atlanta"	1996-07-27	28.6132785763176
"71"	9.84	"+0.2"	"Bruny Surin"	"CAN"	1967-07-12	"2"	"Sevilla"	1999-08-22	32.1122518822724
"72"	9.84	"+1.8"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Kingston"	2005-05-07	22.4531143052704
"73"	9.84	"+1.0"	"Tyson Gay"	"USA"	1982-08-09	"2rA"	"Zürich"	2006-08-18	24.0246406570842
"74"	9.84	"-0.5"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Indianapolis"	2007-06-22	24.8678986995209
"75"	9.84	"-0.3"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Bruxelles"	2007-09-14	24.807665982204
"76"	9.84	"+0.9"	"Asafa Powell"	"JAM"	1982-11-23	"3"	"Berlin"	2009-08-16	26.7296372347707
"77"	9.84	"-0.3"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Saint-Denis"	2010-07-16	23.9014373716632
"78"	9.84	"±0.0"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Stockholm"	2010-08-06	27.9917864476386
"79"	9.84	"+0.5"	"Yohan Blake"	"JAM"	1989-12-26	"1"	"Georgetown"	2012-05-09	22.3682409308693
"80"	9.84	"+1.8"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Kingston"	2015-05-09	32.4572210814511
"81"	9.84	"+1.3"	"Trayvon Bromell"	"USA"	1995-07-10	"1h4"	"Eugene"	2015-06-25	19.958932238193
"82"	9.84	"+0.9"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Kingston"	2015-06-26	32.5886379192334
"83"	9.84	"+1.6"	"Trayvon Bromell"	"USA"	1995-07-10	"2"	"Eugene"	2016-07-03	20.9828884325804
"84"	9.85	"+1.2"	"Leroy Burrell"	"USA"	1967-02-21	"1r3"	"Lausanne"	1994-07-06	27.3702943189596
"85"	9.85	"+0.8"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Roma"	1999-07-07	24.9555099247091
"86"	9.85	"+0.6"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Athínai"	2004-08-22	22.5297741273101
"87"	9.85	"+0.6"	"Asafa Powell"	"JAM"	1982-11-23	"1r2"	"Ostrava"	2005-06-09	22.5434633812457
"88"	9.85	"+1.7"	"Adekotunbo Olusoji Fasuba"	"NGR"	1984-07-09	"1"	"Ad-Dawhah"	2006-05-12	21.8398357289528
"89"	9.85	"+0.1"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Saint-Denis"	2006-07-08	23.6221765913758
"90"	9.85	"+0.5"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Roma"	2006-07-14	23.6386036960986
"91"	9.85	"-0.5"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Osaka"	2007-08-26	25.0458590006845
"92"	9.85	"+1.7"	"Tyson Gay"	"USA"	1982-08-09	"2rA"	"New York City"	2008-05-31	25.8097193702943
"93"	9.85	"-0.1"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Kingston"	2008-06-28	21.8535249828884
"94"	9.85	"-0.1"	"Usain Bolt"	"JAM"	1986-08-21	"1s1"	"Beijing"	2008-08-16	21.9876796714579
"95"	9.85	"+2.0"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Shanghai"	2009-09-20	26.8254620123203
"96"	9.85	"+0.1"	"Nesta Carter"	"JAM"	1985-11-10	"2"	"Bruxelles"	2010-08-27	24.7939767282683
"97"	9.85	"+1.3"	"Mike Rodgers"	"USA"	1985-04-24	"2"	"Eugene"	2011-06-04	26.1108829568789
"98"	9.85	"+1.0"	"Richard Thompson"	"TTO"	1985-06-07	"1"	"Port of Spain"	2011-08-13	26.1820670773443
"99"	9.85	"+0.1"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"Zagreb"	2011-09-13	25.0622861054073
"100"	9.85	"+0.6"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Oslo"	2012-06-07	29.5386721423682
"101"	9.85	"+1.6"	"Yohan Blake"	"JAM"	1989-12-26	"1rA"	"Luzern"	2012-07-17	22.5571526351814
"102"	9.85	"+1.7"	"Yohan Blake"	"JAM"	1989-12-26	"1s3"	"London"	2012-08-05	22.6091718001369
"103"	9.85	"+0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"London"	2013-07-26	26.9295003422313
"104"	9.85	"-0.3"	"Justin Gatlin"	"USA"	1982-02-10	"2"	"Moskva"	2013-08-11	31.4989733059548
"105"	9.86	"+1.2"	"Carl Lewis"	"USA"	1961-07-01	"1"	"Tokyo"	1991-08-25	30.1492128678987
"106"	9.86	"-0.4"	"Frank Fredericks"	"NAM"	1967-10-02	"1r1"	"Lausanne"	1996-07-03	28.7529089664613
"107"	9.86	"+0.2"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Athínai"	1997-08-03	23.0308008213552
"108"	9.86	"+1.8"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Walnut"	1998-04-19	24.3011635865845
"109"	9.86	"-0.4"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Athínai"	1998-06-17	24.4626967830253
"110"	9.86	"+0.1"	"Ato Boldon"	"TTO"	1973-12-30	"2r3"	"Athínai"	1999-06-16	25.4592744695414
"111"	9.86	"+0.4"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Lausanne"	1999-07-02	25.5030800821355
"112"	9.86	"-0.2"	"Maurice Greene"	"USA"	1974-07-23	"1r1"	"Berlin"	2000-09-01	26.1108829568789
"113"	9.86	"+0.6"	"Francis Obikwelu"	"POR"	1978-11-22	"2"	"Athínai"	2004-08-22	25.7494866529774
"114"	9.86	"+0.2"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Stockholm"	2006-07-25	23.668720054757
"115"	9.86	"-0.5"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Berlin"	2006-09-03	23.7782340862423
"116"	9.86	"-0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Kingston"	2009-06-27	22.8501026694045
"117"	9.86	"+0.1"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Daegu"	2010-05-19	23.7426420260096
"118"	9.86	"+1.0"	"Nesta Carter"	"JAM"	1985-11-10	"1r2"	"Nottwil"	2010-08-08	24.7419575633128
"119"	9.86	"+2.0"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Budapest"	2011-07-30	28.6817248459959
"120"	9.86	"+1.4"	"Keston Bledman"	"TTO"	1988-03-08	"1rA"	"Port of Spain"	2012-06-23	24.2929500342231
"121"	9.86	"+1.8"	"Tyson Gay"	"USA"	1982-08-09	"2"	"Eugene"	2012-06-24	29.8754277891855
"122"	9.86	"+1.1"	"Usain Bolt"	"JAM"	1986-08-21	"2"	"Kingston"	2012-06-29	25.8562628336756
"123"	9.86	"+0.3"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Bruxelles"	2012-09-07	26.0479123887748
"124"	9.86	"+0.2"	"Tyson Gay"	"USA"	1982-08-09	"1r1"	"Kingston"	2013-05-04	30.735112936345
"125"	9.86	"-0.4"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Ostrava"	2014-06-17	32.3477070499658
"126"	9.86	"+1.1"	"Keston Bledman"	"TTO"	1988-03-08	"1rA"	"Port of Spain"	2015-06-27	27.3018480492813
"127"	9.86	"+1.3"	"Jimmy Vicaut"	"FRA"	1992-02-27	"2"	"Saint-Denis"	2015-07-04	23.3483915126626
"128"	9.86	"+0.9"	"Mike Rodgers"	"USA"	1985-04-24	"2s2"	"Beijing"	2015-08-23	30.3299110198494
"129"	9.86	"+1.8"	"Jimmy Vicaut"	"FRA"	1992-02-27	"1"	"Montreuil"	2016-06-07	24.2765229295003
"130"	9.86	"+2.0"	"Trayvon Bromell"	"USA"	1995-07-10	"1s2"	"Eugene"	2016-07-03	20.9828884325804
"131"	9.86	"+0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1s2"	"Rio de Janeiro"	2016-08-14	29.9822039698836
"132"	9.87	"+0.3"	"Linford Christie"	"GBR"	1960-04-02	"1"	"Stuttgart"	1993-08-15	33.3689253935661
"133"	9.87	"+1.9"	"Frank Fredericks"	"NAM"	1967-10-02	"1"	"Helsinki"	1996-06-25	28.7310061601643
"134"	9.87	"+1.3"	"Ato Boldon"	"TTO"	1973-12-30	"1q1"	"Athínai"	1997-08-02	23.5893223819302
"135"	9.87	"-0.2"	"Obadele Thompson"	"BAR"	1976-03-30	"1"	"Johannesburg"	1998-09-11	22.4503764544832
"136"	9.87	"+0.6"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Stockholm"	1999-07-30	25.0184804928131
"137"	9.87	"-0.3"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Sydney"	2000-09-23	26.1711156741958
"138"	9.87	"+0.6"	"Maurice Greene"	"USA"	1974-07-23	"3"	"Athínai"	2004-08-22	30.0835044490075
"139"	9.87	"+0.2"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Bruxelles"	2004-09-03	21.7796030116359
"140"	9.87	"+0.7"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Gateshead"	2008-08-31	25.7713894592745
"141"	9.87	"+0.4"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Stuttgart"	2008-09-13	25.8069815195072
"142"	9.87	"+0.4"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Ad-Dawhah"	2012-05-11	30.2477754962355
"143"	9.87	"+1.0"	"Usain Bolt"	"JAM"	1986-08-21	"1s2"	"London"	2012-08-05	25.9575633127995
"144"	9.87	"+1.8"	"Nesta Carter"	"JAM"	1985-11-10	"1rA"	"Madrid"	2013-07-13	27.6714579055441
"145"	9.87	"±0.0"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Beijing"	2014-05-21	32.2737850787132
"146"	9.87	"+1.6"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Austin"	2014-08-23	31.7481177275838
"147"	9.87	"±0.0"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Eugene"	2015-06-26	32.8788501026694
"148"	9.87	"±0.0"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Luzern"	2015-07-14	32.6379192334018
"149"	9.87	"±0.0"	"Asafa Powell"	"JAM"	1982-11-23	"1r2"	"Bellinzona"	2015-07-21	32.6570841889117
"150"	9.87	"-1.2"	"Usain Bolt"	"JAM"	1986-08-21	"1h2"	"London"	2015-07-24	28.9226557152635
"151"	9.87	"-0.8"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"London"	2015-07-24	28.9226557152635
"152"	9.88	"+1.2"	"Leroy Burrell"	"USA"	1967-02-21	"2"	"Tokyo"	1991-08-25	24.5065023956194
"153"	9.88	"-0.1"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Kuala Lumpur"	1998-09-17	24.7145790554415
"154"	9.88	"+2.0"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Oslo"	2001-07-13	27.5345653661875
"155"	9.88	"+1.8"	"Shawn Crawford"	"USA"	1978-01-14	"1"	"Eugene"	2004-06-19	26.4284736481862
"156"	9.88	"+0.4"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Helsinki"	2005-08-07	23.4880219028063
"157"	9.88	"+2.0"	"Tyson Gay"	"USA"	1982-08-09	"1r1"	"Réthymno"	2006-07-21	23.9479808350445
"158"	9.88	"+1.1"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Athínai"	2006-09-16	24.104038329911
"159"	9.88	"+0.4"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Stockholm"	2008-07-22	25.6618754277892
"160"	9.88	"+0.4"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Roma"	2009-07-10	26.6283367556468
"161"	9.88	"±0.0"	"Asafa Powell"	"JAM"	1982-11-23	"2rA"	"Zürich"	2009-08-28	26.7624914442163
"162"	9.88	"-0.2"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Thessaloníki"	2009-09-12	27.0937713894593
"163"	9.88	"+1.2"	"Asafa Powell"	"JAM"	1982-11-23	"1h2"	"Ostrava"	2010-05-27	27.5071868583162
"164"	9.88	"+1.0"	"Walter Dix"	"USA"	1986-01-31	"2r2"	"Nottwil"	2010-08-08	24.517453798768
"165"	9.88	"+0.9"	"Ryan Bailey"	"USA"	1989-04-13	"2"	"Rieti"	2010-08-29	21.3771389459274
"166"	9.88	"+1.0"	"Michael Frater"	"JAM"	1982-10-06	"2rA"	"Lausanne"	2011-06-30	28.7310061601643
"167"	9.88	"+1.0"	"Usain Bolt"	"JAM"	1986-08-21	"1"	"Monaco"	2011-07-22	24.9171800136893
"168"	9.88	"+0.4"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Ad-Dawhah"	2012-05-11	29.4647501711157
"169"	9.88	"+1.1"	"Asafa Powell"	"JAM"	1982-11-23	"3"	"Kingston"	2012-06-29	29.5989048596851
"170"	9.88	"+1.5"	"Ryan Bailey"	"USA"	1989-04-13	"1h3"	"London"	2012-08-04	23.3100616016427
